date,revenue
2023-01-01,3596.9301733807674
2023-01-02,3340.0616519678624
2023-01-03,3897.90494475134
2023-01-04,3649.1997419527856
2023-01-05,4286.158557808347
2023-01-06,4034.9954777008757
2023-01-07,3465.4425332387095
2023-01-08,3183.1060846446717
2023-01-09,3620.148244994593
2023-01-10,3650.7471358164307
2023-01-11,4260.608504847811
2023-01-12,3967.128990142563
2023-01-13,4075.3024205931483
2023-01-14,3676.709546433871
2023-01-15,3618.1547436952405
2023-01-16,5047.040769007276
2023-01-17,4215.022163271029
2023-01-18,4098.906727976575
2023-01-19,4536.646024736582
2023-01-20,4159.249911413833
2023-01-21,3186.7288063488377
2023-01-22,3331.6824923121394
2023-01-23,5088.372895365988
2023-01-24,4723.786048597649
2023-01-25,4780.826404620022
2023-01-26,5115.706421555678
2023-01-27,4849.00801249183
2023-01-28,3051.0221485804345
2023-01-29,3874.2820018043485
2023-01-30,4940.926392686126
2023-01-31,4812.0121009614495
2023-02-01,4489.272979579996
2023-02-02,4802.30334066029
2023-02-03,4592.12851893051
2023-02-04,3225.5710468883035
2023-02-05,3341.6585526599642
2023-02-06,4931.825721316106
2023-02-07,4304.94738534019
2023-02-08,4359.702460433123
2023-02-09,5002.830884399764
2023-02-10,4772.245963453678
2023-02-11,3966.956102218802
2023-02-12,3261.910392498117
2023-02-13,4990.8136454402
2023-02-14,5774.635445319516
2023-02-15,4399.5736397749115
2023-02-16,4621.940530115716
2023-02-17,5386.7214829023715
2023-02-18,3713.9916361771793
2023-02-19,4758.263140733696
2023-02-20,4070.81993743646
2023-02-21,4295.21006029417
2023-02-22,5461.46604995887
2023-02-23,5580.140126214858
2023-02-24,4622.652306387196
2023-02-25,4013.7550198868216
2023-02-26,4289.256300178057
2023-02-27,4930.828113431353
2023-02-28,5100.733480399276
2023-03-01,5063.3732052972755
2023-03-02,4484.634564294718
2023-03-03,4957.557097237938
2023-03-04,4118.565705277867
2023-03-05,4173.051160445542
2023-03-06,4457.76235528981
2023-03-07,5469.57925726904
2023-03-08,5238.005506057791
2023-03-09,4782.124283576571
2023-03-10,5941.934514273743
2023-03-11,4101.65931153395
2023-03-12,4145.567756941272
2023-03-13,5532.78819794515
2023-03-14,6047.521968032109
2023-03-15,5584.0886044237595
2023-03-16,5659.797229793735
2023-03-17,4946.309411337947
2023-03-18,4399.266313695477
2023-03-19,4169.016534187659
2023-03-20,5680.921600912075
2023-03-21,5735.309217798083
2023-03-22,6086.967928784348
2023-03-23,4587.387776135021
2023-03-24,5215.432141317079
2023-03-25,5004.587566906789
2023-03-26,3940.5816638393094
2023-03-27,5840.036005707901
2023-03-28,5987.829542066311
2023-03-29,5539.214332756266
2023-03-30,4998.147965253178
2023-03-31,5534.167678879881
2023-04-01,5182.143478835595
2023-04-02,5230.022557467717
2023-04-03,5713.157322249376
2023-04-04,5254.540237681716
2023-04-05,6356.060633910882
2023-04-06,6004.169425097685
2023-04-07,5326.122699490014
2023-04-08,4842.484458571329
2023-04-09,4838.746140832131
2023-04-10,5479.714260270354
2023-04-11,5887.872286920866
2023-04-12,6205.109353491831
2023-04-13,5657.94393932725
2023-04-14,6273.360403858888
2023-04-15,4101.316499323581
2023-04-16,5703.963419530121
2023-04-17,5852.584546287785
2023-04-18,6271.625420885434
2023-04-19,5942.416682310437
2023-04-20,5537.896761735772
2023-04-21,5864.864177420136
2023-04-22,4127.507443910273
2023-04-23,5178.300429041901
2023-04-24,5991.866919632605
2023-04-25,5848.916195620063
2023-04-26,6237.556381732669
2023-04-27,5962.179931003086
2023-04-28,6200.350354547508
2023-04-29,5352.743723079586
2023-04-30,4758.072702477643
2023-05-01,5653.292241772867
2023-05-02,5307.867675243255
2023-05-03,6055.091829474507
2023-05-04,6195.820261839824
2023-05-05,5494.184710256627
2023-05-06,5600.165752013976
2023-05-07,4711.193799644244
2023-05-08,5206.571251026435
2023-05-09,6653.470843536127
2023-05-10,5273.63122882899
2023-05-11,6455.527567295266
2023-05-12,6365.044195777484
2023-05-13,5210.878156783104
2023-05-14,4880.12484730528
2023-05-15,6296.248701682531
2023-05-16,6520.133887136675
2023-05-17,5711.7397232613175
2023-05-18,6501.649924364215
2023-05-19,6488.198146280554
2023-05-20,5237.526906640232
2023-05-21,4909.2838655196465
2023-05-22,6502.532388333497
2023-05-23,6335.257677552363
2023-05-24,5728.838344140106
2023-05-25,5991.275583386653
2023-05-26,6468.540971515459
2023-05-27,5189.157219948494
2023-05-28,5579.828578933695
2023-05-29,6010.591332980325
2023-05-30,5748.810385080651
2023-05-31,7027.431785980219
2023-06-01,5478.558625556142
2023-06-02,5951.6104417266915
2023-06-03,5263.778915865028
2023-06-04,5546.350717456477
2023-06-05,6410.238649171075
2023-06-06,7075.608913077849
2023-06-07,6103.217468204162
2023-06-08,5799.920759453244
2023-06-09,6059.7991805457605
2023-06-10,5017.957538223421
2023-06-11,5116.608493063926
2023-06-12,5748.618442485777
2023-06-13,6452.632965932511
2023-06-14,6284.450280363545
2023-06-15,5627.385451394421
2023-06-16,6516.680578912383
2023-06-17,4801.125202193495
2023-06-18,4648.55479570873
2023-06-19,6152.293061580831
2023-06-20,5409.623763630696
2023-06-21,6343.682566246331
2023-06-22,4967.187798724702
2023-06-23,5685.545646197638
2023-06-24,5721.638554494558
2023-06-25,4810.940946424889
2023-06-26,5874.721720242165
2023-06-27,6582.305312387084
2023-06-28,5748.911880600565
2023-06-29,6364.387476529327
2023-06-30,6521.381584733051
