revenue,promotion_active,weather_score,economic_index,date
362730.9096967802,0,69.60423744638987,50.30116677347686,2020-01-01
456956.56996453664,0,75.2030621516823,50.88779274467127,2020-02-01
602381.166266841,0,69.11264153074796,50.60473383894362,2020-03-01
675517.4085657734,0,67.3338890881905,49.75554794582068,2020-04-01
753299.4934117043,0,67.23175893266213,51.901382875842,2020-05-01
778621.7846782699,0,73.34429259031207,53.074356444499315,2020-06-01
707760.3314531493,0,71.89688515596451,51.94333891449818,2020-07-01
599389.893372172,0,73.81283742472347,51.17111360746467,2020-08-01
466310.6090539897,0,72.59823806663593,53.16319525763652,2020-09-01
408348.2641655488,0,71.32744435300235,54.68902312709231,2020-10-01
481501.54688413686,1,67.58887111447447,54.93557742083626,2020-11-01
454025.6480649238,0,66.050545733606,55.50401998850893,2020-12-01
425552.557963069,0,71.34250923553924,55.53372786010725,2021-01-01
487507.43327625527,0,70.0929262319009,56.42172603457649,2021-02-01
626644.7532106837,0,70.25034480439913,54.72393335650548,2021-03-01
731224.3873655386,0,69.78359221455298,57.6062198354519,2021-04-01
812752.0899192158,0,71.78927393290022,57.906595585153624,2021-05-01
780876.2111795865,0,69.32868497269155,57.035787696930086,2021-06-01
798955.281595107,1,69.67356856059448,56.87963191011779,2021-07-01
663001.7392048389,0,67.58866044610737,57.529097260732414,2021-08-01
552585.0350791934,0,69.07711999968666,59.643269275692596,2021-09-01
434967.3195924409,0,69.83376395493053,59.397202622423336,2021-10-01
530128.2436045618,1,68.46014803375202,60.04271328250441,2021-11-01
498534.5689049923,0,70.19623264634248,59.29351103213624,2021-12-01
449900.0416847134,0,71.50312129023074,60.790995237162676,2022-01-01
544711.4966864025,0,69.75277595704759,62.01153405438042,2022-02-01
691404.0804359143,0,66.78504934299276,60.73254661631791,2022-03-01
790152.1211648969,0,75.7287864457682,61.105466749444,2022-04-01
915774.9961887412,1,72.51243451820906,59.3987243779143,2022-05-01
859516.5021694102,0,66.84830979594442,61.12074433073116,2022-06-01
789669.5877256411,0,65.24849767881227,61.86278060935218,2022-07-01
728087.9834191154,0,72.69466701531351,62.23882179073528,2022-08-01
555682.4844397295,0,70.17898809857601,63.91851526954763,2022-09-01
513871.3987478184,0,71.5823622512099,64.47301454537538,2022-10-01
604059.7197516488,1,70.88603117711324,65.91382598673749,2022-11-01
554792.8524674454,0,68.99102847524856,62.82765275148323,2022-12-01
532465.5747382336,0,71.51997883499185,64.92968216123532,2023-01-01
559946.1625763536,0,67.26245819281544,65.43158844239478,2023-02-01
764918.3292231944,0,73.5613050044193,66.27884807775438,2023-03-01
790559.1249586135,0,68.41925729398763,66.68090067591676,2023-04-01
935841.0939654625,0,73.87903710760409,66.79410699702854,2023-05-01
999581.5119070851,1,74.68044700615172,65.73893108747079,2023-06-01
850700.5593465575,0,71.21752600377793,66.55338029436676,2023-07-01
752799.2764969276,0,64.00775689898552,68.4644975429023,2023-08-01
598721.0755370235,0,72.1363501805547,67.99461806239415,2023-09-01
537032.8134676623,0,69.5754276258121,67.15092115799449,2023-10-01
629932.2692740588,1,64.07875642034998,68.90192018396611,2023-11-01
626776.2646369815,0,71.4919581008375,69.65541737871185,2023-12-01
